,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M06853_2.00,364,500,15130,27655,1.9845885650248762e-17,0.41213871003579716,6.88367654104055,2.7784239910348268e-14,True,A. thaliana,OMalley2016,AT3G52440,Dof,.
1,M07354_2.00,288,500,11265,27655,6.688057721921008e-15,0.49983374526072255,7.084993382615698,4.681640405344705e-12,True,A. thaliana,OMalley2016,ZHD10,Homeodomain,HD-ZF
2,M06863_2.00,412,500,18733,27655,3.783304876017639e-14,0.28267462580857927,3.7940951964806917,1.7655422754748982e-11,True,A. thaliana,OMalley2016,DOF5.1,Dof,.
3,M06696_2.00,231,500,8456,27655,5.079545617122716e-14,0.5954578169745751,7.916120504435095,1.7778409659929505e-11,True,A. thaliana,OMalley2016,HMGB15,HMGBox,.
4,M07337_2.00,195,500,6795,27655,2.1938002161284855e-13,0.6665409150360577,8.437610084935557,6.14264060515976e-11,True,A. thaliana,OMalley2016,ZHD9,Homeodomain,HD-ZF
5,M06838_2.00,385,500,17256,27655,6.92369143754781e-13,0.3033726113630102,3.6889085037901164,1.384738287509562e-10,True,A. thaliana,OMalley2016,CDF5,Dof,.
6,M06702_2.00,281,500,11262,27655,6.762684981149758e-13,0.46471932161009616,5.655578769143875,1.384738287509562e-10,True,A. thaliana,OMalley2016,REM19,B3,REM
7,M06867_2.00,385,500,17284,27655,9.52976608415917e-13,0.3010335569337307,3.6186996307023582,1.6677090647278547e-10,True,A. thaliana,OMalley2016,DOF5.6,Dof,.
8,M06837_2.00,347,500,15021,27655,1.2718118171295934e-12,0.3535670487145501,4.205884103580035,1.9783739377571455e-10,True,A. thaliana,OMalley2016,CDF5,Dof,.
9,M06855_2.00,386,500,17468,27655,3.749729397762956e-12,0.28949865842902583,3.3078116921558403,5.249621156868139e-10,True,A. thaliana,OMalley2016,OBP3,Dof,.
10,M06839_2.00,383,500,17332,27655,6.482665087883921e-12,0.2895184975942889,3.239204292684759,8.250664657306808e-10,True,A. thaliana,OMalley2016,DOF2.2,Dof,.
11,M06915_2.00,138,500,4399,27655,8.183727211462501e-12,0.7950330078092459,8.814569799245952,9.54768174670625e-10,True,A. thaliana,OMalley2016,HAT5,Homeodomain,HD-ZIP
12,M06699_2.00,191,500,6910,27655,1.491434752632099e-11,0.6124272697013284,6.630379984626833,1.606160502834568e-09,True,A. thaliana,OMalley2016,HMGB9,HMGBox,.
13,M06833_2.00,383,500,17436,27655,1.997627622596785e-11,0.2808875305121602,3.005352050104794,1.997627622596785e-09,True,A. thaliana,OMalley2016,DOF1.7,Dof,.
14,M06868_2.00,352,500,15606,27655,2.9690134000029594e-11,0.31908687091435023,3.359151245502831,2.7710791733360952e-09,True,A. thaliana,OMalley2016,DOF5.8,Dof,.
15,M06835_2.00,347,500,15325,27655,3.3924636583942646e-11,0.32466083605395496,3.399031686924279,2.9684057010949815e-09,True,A. thaliana,OMalley2016,DOF1.8,Dof,.
16,M06829_2.00,359,500,16069,27655,4.916027026321406e-11,0.30531594066667356,3.147314488414743,4.048492845205864e-09,True,A. thaliana,OMalley2016,DOF1.5,Dof,.
17,M07064_2.00,102,500,2961,27655,5.769351069373814e-11,0.9300250037351421,9.522407930843404,4.487273053957411e-09,True,A. thaliana,OMalley2016,MYR2,Myb/SANT,G2-like
18,M06851_2.00,376,500,17114,27655,6.163354237018672e-11,0.28116791337309105,2.8707758128845837,4.541418911487443e-09,True,A. thaliana,OMalley2016,DOF3.4,Dof,.
19,M06866_2.00,337,500,14811,27655,6.846101010149108e-11,0.33169178766080637,3.371499981738258,4.792270707104376e-09,True,A. thaliana,OMalley2016,DOF5.4,Dof,.
20,M06925_2.00,119,500,3724,27655,1.1333311517711406e-10,0.82164884269035,8.171826203444855,6.909074971798202e-09,True,A. thaliana,OMalley2016,HB-5,Homeodomain,HD-ZIP
21,M06924_2.00,147,500,4979,27655,1.1350623167954188e-10,0.7075004817115155,7.036078348851521,6.909074971798202e-09,True,A. thaliana,OMalley2016,HB-5,Homeodomain,HD-ZIP
22,M06703_2.00,226,500,8818,27655,1.0680092790483856e-10,0.5034116377406406,5.019731376802431,6.909074971798202e-09,True,A. thaliana,OMalley2016,REM19,B3,REM
23,M02041_2.00,181,500,6589,27655,1.2131529905731502e-10,0.603470512598323,5.984064552043312,7.076725778343376e-09,True,A. thaliana,Zoo_01,ATHB-22,Homeodomain,HD-ZIP
24,M06697_2.00,181,500,6611,27655,1.5985177256763213e-10,0.5986615246759232,5.864657443678962,8.951699263787399e-09,True,A. thaliana,OMalley2016,HMGB15,HMGBox,.
25,M06908_2.00,146,500,4963,27655,1.7379593069735265e-10,0.7022962565240974,6.854383650251034,9.358242422165143e-09,True,A. thaliana,OMalley2016,ATHB-21,Homeodomain,HD-ZIP
26,M07296_2.00,234,500,9282,27655,1.9221248155730265e-10,0.4796131743544134,4.660026356402153,9.966573117786064e-09,True,A. thaliana,OMalley2016,AT2G20110,TCR/CxC,.
27,M06805_2.00,253,500,10291,27655,2.296776375974111e-10,0.4433664530666549,4.27355660798058,1.1483881879870554e-08,True,A. thaliana,OMalley2016,SGR5,C2H2 ZF,.
28,M01133_2.00,73,500,1869,27655,2.4337529277346127e-10,1.1112421420760596,10.683174709944055,1.1749152064925718e-08,True,A. thaliana,TF_Evolution,DPBF3,bZIP,.
29,M07215_2.00,350,500,15708,27655,2.777334748101121e-10,0.3014676661071321,2.8809370946218276,1.2960895491138565e-08,True,A. thaliana,OMalley2016,NAC68,NAC/NAM,.
30,M07057_2.00,160,500,5682,27655,4.2228821468451477e-10,0.6392134156390218,5.992236515444044,1.9071080663171636e-08,True,A. thaliana,OMalley2016,AT2G40260,Myb/SANT,G2-like
31,M06847_2.00,328,500,14488,27655,4.80391487604435e-10,0.32444961060911653,3.0233527753655656,2.1017127582694028e-08,True,A. thaliana,OMalley2016,DOF3.2,Dof,.
32,M07080_2.00,100,500,3010,27655,6.400460151163312e-10,0.877776855068861,8.07009502075613,2.7153467307965564e-08,True,A. thaliana,OMalley2016,PHL12,Myb/SANT,G2-like
33,1.HSF1b-NS,388,500,18094,27655,7.283597708147694e-10,0.24615752300447713,2.2493022868763157,2.999128468060815e-08,True,.,.,1.HSF1b-NS,.,.
34,M00854_2.00,52,500,1156,27655,1.1351157518090428e-09,1.3149824725816137,11.762465420239433,4.540463007236171e-08,True,A. thaliana,Franco_Zorrilla2014,PIF3,bHLH,.
35,M06869_2.00,363,500,16645,27655,1.4096733999683558e-09,0.27049292490932575,2.3941008236519883,5.482063222099162e-08,True,A. thaliana,OMalley2016,DOF5.8,Dof,.
36,M06713_2.00,342,500,15435,27655,1.8158286845216954e-09,0.29340308932461157,2.564614436011516,6.870703130622631e-08,True,A. thaliana,OMalley2016,AT5G60130,B3,REM
37,M06916_2.00,133,500,4539,27655,1.9285791498678195e-09,0.696592099504497,6.070634729382645,7.105291604776177e-08,True,A. thaliana,OMalley2016,WOX11,Homeodomain,HD-WOX
38,M06770_2.00,74,500,2009,27655,2.2300156028810245e-09,1.0266599538368582,8.88234581023858,8.005184215470344e-08,True,A. thaliana,OMalley2016,GBF3,bZIP,.
39,M06854_2.00,319,500,14141,27655,2.3396769182871652e-09,0.31928452526471046,2.7556949640975885,8.188869214005079e-08,True,A. thaliana,OMalley2016,OBP3,Dof,.
40,M06850_2.00,328,500,14706,27655,3.783508077856426e-09,0.3029031719712883,2.5510824204869835,1.291929587560731e-07,True,A. thaliana,OMalley2016,CDF3,Dof,.
41,M06807_2.00,227,500,9235,27655,5.1903807306564106e-09,0.443120678362315,3.6711665435580385,1.7301269102188035e-07,True,A. thaliana,OMalley2016,IDD5,C2H2 ZF,.
42,M06880_2.00,39,500,765,27655,5.339488928488479e-09,1.4955547182234348,12.371976869628703,1.7384382557869466e-07,True,A. thaliana,OMalley2016,FAR1,FAR1,.
43,M06698_2.00,178,500,6766,27655,5.600752122046939e-09,0.5411144061136098,4.465142774579596,1.7617999497272945e-07,True,A. thaliana,OMalley2016,HMGB9,HMGBox,.
44,M06864_2.00,305,500,13448,27655,5.662928409837731e-09,0.3270298601552817,2.6970018251412005,1.7617999497272945e-07,True,A. thaliana,OMalley2016,DOF5.1,Dof,.
45,M01826_2.00,61,500,1550,27655,6.052117866612977e-09,1.122153274342487,9.221959545261578,1.8419489159256886e-07,True,Oryza sativa,Zoo_01,OS02G0728001,bZIP,.
46,M07350_2.00,290,500,12633,27655,6.700494411454658e-09,0.34446786606588475,2.815643531070634,1.995891952348196e-07,True,A. thaliana,OMalley2016,FRS9,FAR1,.
47,M07295_2.00,259,500,10959,27655,7.425173564713851e-09,0.38644818554458,3.141550680396005,2.1656756230415398e-07,True,A. thaliana,OMalley2016,AT2G20110,TCR/CxC,.
48,M07063_2.00,101,500,3204,27655,7.715328465484247e-09,0.8020214872842852,6.506516073836111,2.2043795615669273e-07,True,A. thaliana,OMalley2016,MYR2,Myb/SANT,G2-like
49,M07040_2.00,93,500,2862,27655,8.071707943358909e-09,0.8458192913225641,6.8452447565758145,2.2305822724974927e-07,True,A. thaliana,OMalley2016,PHL7,Myb/SANT,G2-like
50,M06832_2.00,370,500,17254,27655,8.272333873340277e-09,0.24620665681777787,1.9899337759009612,2.2305822724974927e-07,True,A. thaliana,OMalley2016,DOF1.6,Dof,.
51,M06861_2.00,266,500,11347,27655,8.285019869276402e-09,0.37472757486724456,3.028438257190239,2.2305822724974927e-07,True,A. thaliana,OMalley2016,DOF4.7,Dof,.
52,M02532_2.00,187,500,7256,27655,9.0988707502411e-09,0.5114041563003148,4.112207215456109,2.403475292516517e-07,True,C. sativa,Zoo_01,PK22848.1,TCR/CxC,.
53,M07297_2.00,214,500,8626,27655,9.572177056320094e-09,0.45645942260784705,3.66034321520952,2.4816755331200246e-07,True,A. thaliana,OMalley2016,TCX3,TCR/CxC,.
54,M01267_2.00,22,500,285,27655,1.1228180385688714e-08,2.0940819465263933,16.647303605400737,2.858082279993491e-07,True,A. thaliana,TF_Evolution,MYB124,Myb/SANT,R2R3-MYB
55,M06927_2.00,113,500,3785,27655,1.612181396049119e-08,0.7235698144832942,5.638480074919681,4.0304534901227977e-07,True,A. thaliana,OMalley2016,ATHB-51,Homeodomain,HD-ZIP
56,M06705_2.00,288,500,12630,27655,1.7599586102515897e-08,0.3348264197085982,2.596410649821289,4.322705358512676e-07,True,A. thaliana,OMalley2016,VRN1,B3,REM
57,M06881_2.00,38,500,769,27655,1.8731539828462085e-08,1.4505561624229595,11.209066158151687,4.5214061654908485e-07,True,A. thaliana,OMalley2016,FAR1,FAR1,.
58,M01773_2.00,62,500,1640,27655,1.916847389087124e-08,1.0641846478226298,8.212751863349828,4.5484514317321584e-07,True,A. thaliana,Zoo_01,ABF1,bZIP,.
59,M07299_2.00,244,500,10266,27655,1.9850515086149217e-08,0.39461922929351706,3.03944736385044,4.6317868534348175e-07,True,A. thaliana,OMalley2016,TSO1,TCR/CxC,.
60,M06778_2.00,73,500,2084,27655,2.1737538148591215e-08,0.9541534335427095,7.3114770482098255,4.830564033020271e-07,True,A. thaliana,OMalley2016,DPBF3,bZIP,.
61,M07069_2.00,136,500,4864,27655,2.156172601684095e-08,0.6290037647479545,4.822141925660818,4.830564033020271e-07,True,A. thaliana,OMalley2016,RVE8,Myb/SANT,MYB-related
62,M07336_2.00,333,500,15186,27655,2.1193178305517945e-08,0.2783925111806224,2.1363295402523437,4.830564033020271e-07,True,A. thaliana,OMalley2016,MIP1B,Unknown,.
63,M06913_2.00,98,500,3147,27655,2.3937789798372765e-08,0.7844168177579849,5.977974638645736,5.236391518394042e-07,True,A. thaliana,OMalley2016,ATHB-20,Homeodomain,HD-ZIP
64,M06856_2.00,301,500,13392,27655,2.516681676153291e-08,0.3140043011505588,2.386172603048261,5.420545148637857e-07,True,A. thaliana,OMalley2016,DOF4.2,Dof,.
65,M01776_2.00,70,500,1973,27655,2.656349335969371e-08,0.9725762131626084,7.367960023434493,5.634680409631998e-07,True,A. thaliana,Zoo_01,ABI5,bZIP,.
66,M06910_2.00,86,500,2638,27655,2.733184753711453e-08,0.8505043423917535,6.432645867401981,5.711132321188111e-07,True,A. thaliana,OMalley2016,ATHB-6,Homeodomain,HD-ZIP
67,M06932_2.00,96,500,3075,27655,3.018962877155263e-08,0.788060242548392,5.9263251076210315,6.186810027027411e-07,True,A. thaliana,OMalley2016,ATHB-5,Homeodomain,HD-ZIP
68,M08144_2.00,262,500,11275,27655,3.0492135133206525e-08,0.3620516254485452,2.7211120106209425,6.186810027027411e-07,True,A. thaliana,JASPAR,AP1,MADS box,.
69,M06777_2.00,72,500,2068,27655,3.450890331408176e-08,0.945372968068578,7.054438169357717,6.901780662816352e-07,True,A. thaliana,OMalley2016,DPBF3,bZIP,.
70,M07086_2.00,78,500,2325,27655,4.086243122227981e-08,0.8918556549206927,6.589632292282373,8.057380804393202e-07,True,A. thaliana,OMalley2016,AT3G24120,Myb/SANT,G2-like
71,M07135_2.00,87,500,2711,27655,4.464936440006647e-08,0.827802534952217,6.0845015428142375,8.68182085556848e-07,True,A. thaliana,OMalley2016,PHL11,Myb/SANT,G2-like
72,M01056_2.00,64,500,1762,27655,4.719275432349467e-08,1.0064702280207871,7.373526372227381,9.050665212725006e-07,True,A. thaliana,Stam_Arabidopsis,ABF4,bZIP,.
73,M01846_2.00,60,500,1611,27655,5.4225022153677444e-08,1.04261825384315,7.575455981816894,1.0258787975020056e-06,True,O. tauri,Zoo_01,1500010105,bZIP,.
74,M08114_2.00,31,500,574,27655,5.525781896586405e-08,1.578757820652388,11.458002643370799,1.0314792873627958e-06,True,A. thaliana,JASPAR,FHY3,FAR1,.
75,M06834_2.00,299,500,13407,27655,7.394935423293571e-08,0.30277128102313916,2.159081871057015,1.3622249463961841e-06,True,A. thaliana,OMalley2016,DOF1.7,Dof,.
76,M07327_2.00,195,500,7877,27655,8.22457872641742e-08,0.4533681903072127,3.2120620975616894,1.4575202806309353e-06,True,A. thaliana,OMalley2016,ZHD6,Homeodomain,HD-ZF
77,M06737_2.00,42,500,954,27655,8.028462365203403e-08,1.2839404037144493,9.110029171811878,1.4575202806309353e-06,True,A. thaliana,OMalley2016,BHLH104,bHLH,.
78,M06735_2.00,55,500,1436,27655,8.155133360215406e-08,1.0829881166428088,7.676835917992099,1.4575202806309353e-06,True,A. thaliana,OMalley2016,BHLH34,bHLH,.
79,M06715_2.00,235,500,9963,27655,9.388712216229641e-08,0.38362087528233574,2.6958550267899053,1.6430246378401873e-06,True,A. thaliana,OMalley2016,BPC1,BBR,.
80,M06901_2.00,105,500,3556,27655,9.697400986456687e-08,0.7076743457775532,4.963164084063359,1.6760939976591806e-06,True,A. thaliana,OMalley2016,ATHB-13,Homeodomain,HD-ZIP
81,M06935_2.00,82,500,2550,27655,1.0361293560797683e-07,0.830738909813064,5.8023673769943755,1.7690013396483849e-06,True,A. thaliana,OMalley2016,ATHB-53,Homeodomain,HD-ZIP
82,M06818_2.00,244,500,10456,27655,1.0805409469333962e-07,0.3681623487086536,2.5647510070586628,1.800901578222327e-06,True,A. thaliana,OMalley2016,JKD,C2H2 ZF,.
83,M07134_2.00,85,500,2681,27655,1.0737614821876204e-07,0.8103038690963411,5.647082356765571,1.800901578222327e-06,True,A. thaliana,OMalley2016,PHL11,Myb/SANT,G2-like
84,1.WRKY33.1MEME,170,500,6658,27655,1.1626044607706663e-07,0.49798621793863923,3.45331929884892,1.91487793538698e-06,True,.,.,1.WRKY33.1MEME,.,.
85,M07072_2.00,90,500,2906,27655,1.2116568539350486e-07,0.7765025456380339,5.370773314181875,1.9724646459407768e-06,True,A. thaliana,OMalley2016,AT3G10580,Myb/SANT,MYB-related
86,M06704_2.00,161,500,6225,27655,1.2985022102951142e-07,0.516527193213012,3.5570941165732415,2.0895437866817928e-06,True,A. thaliana,OMalley2016,VRN1,B3,REM
87,M06928_2.00,97,500,3229,27655,1.484753963391747e-07,0.7325095535143473,5.0018283183887755,2.3621085781232338e-06,True,A. thaliana,OMalley2016,ATHB-51,Homeodomain,HD-ZIP
88,M07338_2.00,157,500,6045,27655,1.5305554250761033e-07,0.5225625616963415,3.561342732999187,2.3874886914641725e-06,True,A. thaliana,OMalley2016,ZHD9,Homeodomain,HD-ZF
89,M07334_2.00,275,500,12170,27655,1.5348141587983964e-07,0.3217146977521318,2.1921459997840116,2.3874886914641725e-06,True,A. thaliana,OMalley2016,AtIDD11,C2H2 ZF,.
90,M01161_2.00,67,500,1949,27655,1.645639039075945e-07,0.9270392521410831,6.288724116372812,2.5317523678091458e-06,True,C. sativa,TF_Evolution,PK24205.1,bZIP,.
91,M06900_2.00,114,500,4013,27655,1.7743491323132642e-07,0.6518930103259467,4.40090423772819,2.700096505694098e-06,True,A. thaliana,OMalley2016,ATHB-13,Homeodomain,HD-ZIP
92,M07298_2.00,248,500,10730,27655,1.8093791237009053e-07,0.35430229168419136,2.3888727231209415,2.7237965303024378e-06,True,A. thaliana,OMalley2016,TCX3,TCR/CxC,.
93,M06766_2.00,67,500,1958,27655,1.933298819829732e-07,0.9203925777952779,6.179240582978203,2.8793812210230053e-06,True,A. thaliana,OMalley2016,ABI5,bZIP,.
94,M01770_2.00,53,500,1401,27655,2.0329237417018551e-07,1.0651476510735816,7.127839104549158,2.9958876193501025e-06,True,A. thaliana,Zoo_01,BZIP68,bZIP,.
95,M06695_2.00,267,500,11773,27655,2.1137463021967872e-07,0.32696999379778796,2.1825074246889202,3.082546690703648e-06,True,A. thaliana,OMalley2016,ARID3,ARID/BRIGHT,.
96,M06934_2.00,85,500,2739,27655,2.5759098513470343e-07,0.7794258223735243,5.13569078898386,3.7178080328720083e-06,True,A. thaliana,OMalley2016,ATHB-53,Homeodomain,HD-ZIP
97,M07018_2.00,105,500,3634,27655,2.6911940678185835e-07,0.6763712503732074,4.443796304003379,3.844562954026547e-06,True,A. thaliana,OMalley2016,KAN2,Myb/SANT,G2-like
98,1.ABF3-MEME,52,500,1379,27655,2.904368856219258e-07,1.0605014135683122,6.932442837133697,3.986388626183296e-06,True,.,.,1.ABF3-MEME,.,.
99,2.ABF1-MEME,52,500,1379,27655,2.904368856219258e-07,1.0605014135683122,6.932442837133697,3.986388626183296e-06,True,.,.,2.ABF1-MEME,.,.
100,M08046_2.00,52,500,1379,27655,2.904368856219258e-07,1.0605014135683122,6.932442837133697,3.986388626183296e-06,True,A. thaliana,JASPAR,PIF4,bHLH,.
101,M07326_2.00,171,500,6801,27655,2.8975501063403553e-07,0.47578977536515643,3.1106988233571444,3.986388626183296e-06,True,A. thaliana,OMalley2016,ZHD6,Homeodomain,HD-ZF
102,M07128_2.00,138,500,5198,27655,3.32322515267219e-07,0.5542519752471691,3.5906882960648265,4.430966870229587e-06,True,A. thaliana,OMalley2016,RVE1,Myb/SANT,MYB-related
103,1.FDP-MEME,66,500,1947,27655,3.2929428216127817e-07,0.9068253875793592,5.878419229604227,4.430966870229587e-06,True,.,.,1.FDP-MEME,.,.
104,M07333_2.00,205,500,8542,27655,3.3194002259681885e-07,0.4085903538045046,2.6472325424607726,4.430966870229587e-06,True,A. thaliana,OMalley2016,AT3G12130,C3H,.
105,M06762_2.00,59,500,1664,27655,3.437955473796881e-07,0.9716717681619496,6.280594567202052,4.540695908788333e-06,True,A. thaliana,OMalley2016,BZIP2,bZIP,.
106,1.FD-MEME,69,500,2079,27655,3.731864977182013e-07,0.8763188508609997,5.633042489172377,4.882813988836279e-06,True,.,.,1.FD-MEME,.,.
107,M08404_2.00,52,500,1392,27655,3.8180100340379286e-07,1.0469646592335644,6.719589769708011,4.949272266345463e-06,True,A. thaliana,JASPAR,PIF1,bHLH,.
108,M07300_2.00,217,500,9183,27655,3.879817921891842e-07,0.38626983913753193,2.4764488105136806,4.983252376741816e-06,True,A. thaliana,OMalley2016,TCX2,TCR/CxC,.
109,GBF2-MEME,59,500,1671,27655,3.924187728253647e-07,0.9656154682418536,6.1859743103865705,4.994420745050096e-06,True,.,.,GBF2-MEME,.,.
110,M06765_2.00,66,500,1960,27655,4.125054236568981e-07,0.8972246172970834,5.728393677162996,5.180139285980243e-06,True,A. thaliana,OMalley2016,BZIP16,bZIP,.
111,M06846_2.00,75,500,2339,27655,4.1441114287841947e-07,0.8266109810846538,5.275901272112659,5.180139285980243e-06,True,A. thaliana,OMalley2016,GATA24,Dof,.
112,M06907_2.00,80,500,2561,27655,4.605203720492006e-07,0.7889049942310944,4.999094631918281,5.705562131583017e-06,True,A. thaliana,OMalley2016,ATHB-21,Homeodomain,HD-ZIP
113,M07349_2.00,214,500,9068,27655,5.503595702044305e-07,0.3843667476015614,2.4058873381100843,6.758801739352655e-06,True,A. thaliana,OMalley2016,FRS9,FAR1,.
114,M01772_2.00,52,500,1411,27655,5.645360625046588e-07,1.0274058824850285,6.419548713445429,6.813366271607952e-06,True,A. thaliana,Zoo_01,ABF1,bZIP,.
115,M09540_2.00,33,500,708,27655,5.613341933610653e-07,1.3662570062166566,8.540169922894197,6.813366271607952e-06,True,A. thaliana,HOMER,FHY3,FAR1,.
116,M07071_2.00,150,500,5833,27655,5.718838725166929e-07,0.5082647686233166,3.172940481540262,6.843054884815129e-06,True,A. thaliana,OMalley2016,RVE7L,Myb/SANT,MYB-related
117,M06755_2.00,70,500,2149,27655,5.90754220524118e-07,0.8493016864583836,5.289954680958359,7.008948379099705e-06,True,A. thaliana,OMalley2016,ABF2,bZIP,.
118,M07353_2.00,138,500,5262,27655,6.492518486033033e-07,0.5365973605534804,3.3202427478325416,7.6009715718893635e-06,True,A. thaliana,OMalley2016,ZHD10,Homeodomain,HD-ZF
119,M08147_2.00,208,500,8776,27655,6.515118490190883e-07,0.3905603446790997,2.41603663145293,7.6009715718893635e-06,True,A. thaliana,JASPAR,FLC,MADS box,.
120,M07056_2.00,105,500,3706,27655,6.580848664251245e-07,0.6480667885800574,4.006166194569595,7.6142050660758216e-06,True,A. thaliana,OMalley2016,AT2G38300,Myb/SANT,G2-like
121,M07139_2.00,124,500,4599,27655,7.000357503419697e-07,0.576560264948142,3.5486591168539268,8.033197135071783e-06,True,A. thaliana,OMalley2016,RVE6,Myb/SANT,MYB-related
122,M07366_2.00,147,500,5719,27655,7.899782350253288e-07,0.5075935915742772,3.0975314553359636,8.991622187280166e-06,True,A. thaliana,OMalley2016,ZHD1,Homeodomain,HD-ZF
123,M01162_2.00,52,500,1431,27655,8.42919148719097e-07,1.0071001983556247,6.11734220494252,9.516829098441418e-06,True,C. sativa,TF_Evolution,PK24978.1,bZIP,.
124,M01160_2.00,47,500,1237,27655,8.680392485065884e-07,1.071427503642468,6.494415639476428,9.72203958327379e-06,True,C. sativa,TF_Evolution,PK23964.1,bZIP,.
125,M06849_2.00,284,500,12891,27655,9.124558693954185e-07,0.2851389939507877,1.7221791113099532,1.0058568639004613e-05,True,A. thaliana,OMalley2016,CDF3,Dof,.
126,M06912_2.00,102,500,3595,27655,9.099670276757522e-07,0.6501177235860359,3.927344488695566,1.0058568639004613e-05,True,A. thaliana,OMalley2016,ATHB-20,Homeodomain,HD-ZIP
127,M01087_2.00,159,500,6345,27655,1.0955544095941998e-06,0.47094694349708754,2.8070161727941354,1.198262635493656e-05,True,A. thaliana,Stam_Arabidopsis,TCX3,TCR/CxC,.
128,M07285_2.00,31,500,665,27655,1.2072497725750062e-06,1.3664542169395237,8.086953265328521,1.3101935516317898e-05,True,A. thaliana,OMalley2016,TCP20,TCP,.
129,M07318_2.00,144,500,5618,27655,1.2335370212693568e-06,0.5035525292571145,2.9754152606308932,1.3284244844439227e-05,True,A. thaliana,OMalley2016,ZHD5,Homeodomain,HD-ZF
130,M06842_2.00,220,500,9483,27655,1.2529533206572874e-06,0.35970032984020556,2.122974766280866,1.3390340831451926e-05,True,A. thaliana,OMalley2016,DOF2.4,Dof,.
131,M02286_2.00,102,500,3630,27655,1.382298707979009e-06,0.636139946029583,3.7273971897704703,1.4337518931686586e-05,True,A. thaliana,Zoo_01,RVE7,Myb/SANT,MYB-related
132,M06922_2.00,97,500,3400,27655,1.373346004977188e-06,0.6580622481032641,3.857705692806419,1.4337518931686586e-05,True,A. thaliana,OMalley2016,HAT1,Homeodomain,HD-ZIP
133,M06898_2.00,115,500,4236,27655,1.3825464684126352e-06,0.5864716138932392,3.436325010852333,1.4337518931686586e-05,True,A. thaliana,OMalley2016,ATHB-9,Homeodomain,HD-ZIP
134,M00875_2.00,102,500,3630,27655,1.382298707979009e-06,0.636139946029583,3.7273971897704703,1.4337518931686586e-05,True,A. thaliana,Franco_Zorrilla2014,CCA1,Myb/SANT,MYB-related
135,M07294_2.00,29,500,602,27655,1.396558822806189e-06,1.4138297553090706,8.27788947220037,1.4376340823004887e-05,True,A. thaliana,OMalley2016,TCP7,TCP,.
136,M07282_2.00,28,500,569,27655,1.41058599353573e-06,1.4445385166922227,8.451417670974074,1.4414747379197241e-05,True,A. thaliana,OMalley2016,TCP9,TCP,.
137,M07038_2.00,91,500,3136,27655,1.5283201961162642e-06,0.6825532330246886,3.9695832965045947,1.55046976417592e-05,True,A. thaliana,OMalley2016,AT1G74840,Myb/SANT,MYB-related
138,M06716_2.00,211,500,9057,27655,1.8011327918220646e-06,0.3657500834136043,2.101034627263098,1.814090581691288e-05,True,A. thaliana,OMalley2016,BPC1,BBR,.
139,M06767_2.00,65,500,2017,27655,2.0928672743557195e-06,0.8338408813566937,4.735597757092849,2.0928672743557195e-05,True,A. thaliana,OMalley2016,ABI5,bZIP,.
140,M06719_2.00,185,500,7736,27655,2.185842011751441e-06,0.4034778179806715,2.2838382680954603,2.1703395861361827e-05,True,A. thaliana,OMalley2016,BPC6,BBR,.
141,M07271_2.00,64,500,1979,27655,2.24184801195915e-06,0.8389125398936885,4.739347330238101,2.2102726878470496e-05,True,A. thaliana,OMalley2016,STKL2,Storekeeper,.
142,M06892_2.00,64,500,1983,27655,2.3871910735152577e-06,0.8359994747123525,4.7000833627661045,2.3226846614290216e-05,True,A. thaliana,OMalley2016,ZIM,GATA,.
143,M06914_2.00,108,500,3957,27655,2.3890470803269937e-06,0.594164589131968,3.340259806348245,2.3226846614290216e-05,True,A. thaliana,OMalley2016,HAT5,Homeodomain,HD-ZIP
144,M06848_2.00,249,500,11121,27655,2.5654811596635417e-06,0.30847146846896956,1.7246119010834193,2.4770162920889367e-05,True,A. thaliana,OMalley2016,DOF3.2,Dof,.
145,M06840_2.00,264,500,11936,27655,2.605297275005833e-06,0.2908307360444161,1.6240403359141695,2.4982302637042233e-05,True,A. thaliana,OMalley2016,DOF2.2,Dof,.
146,M06792_2.00,48,500,1332,27655,2.7080899184158326e-06,0.9950525705910944,5.539792913188885,2.562001550375888e-05,True,A. thaliana,OMalley2016,BZIP43,bZIP,.
147,M07144_2.00,86,500,2956,27655,2.718044802239278e-06,0.6863026374971474,3.819784367472571,2.562001550375888e-05,True,A. thaliana,OMalley2016,AT5G56840,Myb/SANT,MYB-related
148,M07008_2.00,118,500,4442,27655,2.7267016500429093e-06,0.5551178087560612,3.0888766509813403,2.562001550375888e-05,True,A. thaliana,OMalley2016,RVE7,Myb/SANT,MYB-related
149,M07013_2.00,75,500,2470,27655,2.8485874519335904e-06,0.7479918009650413,4.147891624765008,2.6586816218046845e-05,True,A. thaliana,OMalley2016,AT1G19000,Myb/SANT,MYB-related
150,M06989_2.00,157,500,6359,27655,3.0474610559739358e-06,0.4495049923391287,2.479497333152452,2.8254605816976887e-05,True,A. thaliana,OMalley2016,AGL13,MADS box,.
151,M07009_2.00,118,500,4458,27655,3.213827717018755e-06,0.5499305850432892,3.020756279655513,2.960104476201485e-05,True,A. thaliana,OMalley2016,RVE7,Myb/SANT,MYB-related
