,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M06863_2.00,407,500,18733,27655,1.828213394849462e-12,0.26505908289160796,3.111256388448934,9.791653088659274e-10,True,A. thaliana,OMalley2016,DOF5.1,Dof,.
1,M07336_2.00,349,500,15186,27655,2.1624745634258792e-12,0.34609737031901244,4.037242780882927,9.791653088659274e-10,True,A. thaliana,OMalley2016,MIP1B,Unknown,.
2,M06833_2.00,386,500,17436,27655,2.626170566181836e-12,0.29214398585528356,3.383225158278365,9.791653088659274e-10,True,A. thaliana,OMalley2016,DOF1.7,Dof,.
3,M06838_2.00,383,500,17256,27655,2.801617478872467e-12,0.2958585577057037,3.4179329588801544,9.791653088659274e-10,True,A. thaliana,OMalley2016,CDF5,Dof,.
4,M07294_2.00,39,500,602,27655,5.900942586950736e-12,1.8412509790437468,20.675551985887285,1.1785025337938756e-09,True,A. thaliana,OMalley2016,TCP7,TCP,.
5,M06832_2.00,382,500,17254,27655,5.4206506096633096e-12,0.29225402433721426,3.2925188117823976,1.1785025337938756e-09,True,A. thaliana,OMalley2016,DOF1.6,Dof,.
6,M07277_2.00,39,500,601,27655,5.6143236506048325e-12,1.8436494750922634,20.74235186008367,1.1785025337938756e-09,True,A. thaliana,OMalley2016,TCP15,TCP,.
7,M07278_2.00,40,500,634,27655,7.066606694759034e-12,1.8030575016891557,20.10551389952086,1.2348895199091412e-09,True,A. thaliana,OMalley2016,TCP15,TCP,.
8,M07292_2.00,39,500,609,27655,8.334774298645455e-12,1.8245722378971165,20.214629513218142,1.294668274389594e-09,True,A. thaliana,OMalley2016,TCP21,TCP,.
9,M06837_2.00,343,500,15021,27655,1.620421666083279e-11,0.3368399623091017,3.6346284838535845,2.2653494891844237e-09,True,A. thaliana,OMalley2016,CDF5,Dof,.
10,M07283_2.00,32,500,448,27655,4.1242727023925775e-11,1.9821135148835964,20.583560317981966,5.24157567085893e-09,True,A. thaliana,OMalley2016,TCP13,TCP,.
11,M06851_2.00,376,500,17114,27655,6.163354237018672e-11,0.28116791337309105,2.8707758128845837,7.180307686126753e-09,True,A. thaliana,OMalley2016,DOF3.4,Dof,.
12,M06839_2.00,379,500,17332,27655,8.844292291650653e-11,0.2743719538404233,2.7583536914421884,9.511015864405856e-09,True,A. thaliana,OMalley2016,DOF2.2,Dof,.
13,M07285_2.00,39,500,665,27655,1.0931968787291563e-10,1.697660125414897,16.91090455235297,1.0916351689024004e-08,True,A. thaliana,OMalley2016,TCP20,TCP,.
14,M07291_2.00,33,500,497,27655,1.3512544101646247e-10,1.8767605147373678,18.52224287449906,1.2593691102734303e-08,True,A. thaliana,OMalley2016,TCP17,TCP,.
15,M06850_2.00,333,500,14706,27655,2.4348938678094385e-10,0.3247295344244668,3.1217938621131616,2.022089069135172e-08,True,A. thaliana,OMalley2016,CDF3,Dof,.
16,M07280_2.00,38,500,654,27655,2.45890659336895e-10,1.6842491248867035,16.18438432428747,2.022089069135172e-08,True,A. thaliana,OMalley2016,TCP22,TCP,.
17,M07286_2.00,36,500,608,27655,4.4251652036812323e-10,1.7114659249399273,16.009172939484408,3.436878308192424e-08,True,A. thaliana,OMalley2016,TCP20,TCP,.
18,M07293_2.00,36,500,612,27655,5.265629348089023e-10,1.702005595690861,15.792143533964792,3.8743946466465546e-08,True,A. thaliana,OMalley2016,TCP21,TCP,.
19,M07215_2.00,348,500,15708,27655,8.718732456298816e-10,0.2932000501235317,2.6562595315616346,6.094393986952872e-08,True,A. thaliana,OMalley2016,NAC68,NAC/NAM,.
20,M07279_2.00,36,500,630,27655,1.1287712708170802e-09,1.6601854199962338,14.854333153186218,7.514391602867991e-08,True,A. thaliana,OMalley2016,TCP22,TCP,.
21,M07290_2.00,30,500,461,27655,1.4732091880853478e-09,1.847736092120381,16.318716589462593,8.954549760623113e-08,True,A. thaliana,OMalley2016,TCP17,TCP,.
22,M06869_2.00,363,500,16645,27655,1.4096733999683558e-09,0.27049292490932575,2.3941008236519883,8.954549760623113e-08,True,A. thaliana,OMalley2016,DOF5.8,Dof,.
23,M07281_2.00,35,500,609,27655,1.657304687755872e-09,1.6684530359798346,14.65001479221177,9.653799806177955e-08,True,A. thaliana,OMalley2016,TCP9,TCP,.
24,M06856_2.00,306,500,13392,27655,2.0057829773870172e-09,0.3377724670835084,2.937849011160656,1.1216338409548199e-07,True,A. thaliana,OMalley2016,DOF4.2,Dof,.
25,M06924_2.00,142,500,4979,27655,2.6675311892249482e-09,0.657575256379833,5.637978239784006,1.4343110009755684e-07,True,A. thaliana,OMalley2016,HB-5,Homeodomain,HD-ZIP
26,M06829_2.00,351,500,16069,27655,4.934521355748319e-09,0.2728031271481829,2.2661087314883814,2.554985501976352e-07,True,A. thaliana,OMalley2016,DOF1.5,Dof,.
27,M07334_2.00,282,500,12170,27655,5.399551847284532e-09,0.357978241738903,2.959636048264171,2.695919100894206e-07,True,A. thaliana,OMalley2016,AtIDD11,C2H2 ZF,.
28,M06854_2.00,317,500,14141,27655,6.628852673167833e-09,0.31021094163924845,2.5370793054611145,3.1955641507202173e-07,True,A. thaliana,OMalley2016,OBP3,Dof,.
29,M06861_2.00,265,500,11347,27655,1.3602324987650907e-08,0.36929368881661634,2.905007018666907,6.338683444245323e-07,True,A. thaliana,OMalley2016,DOF4.7,Dof,.
30,M06855_2.00,372,500,17468,27655,1.9230532555205998e-08,0.2362004322689768,1.8225245876352005,8.672349842638059e-07,True,A. thaliana,OMalley2016,OBP3,Dof,.
31,M02041_2.00,172,500,6589,27655,2.0359695655262015e-08,0.5298893802172153,4.075500418644318,8.894642039392592e-07,True,A. thaliana,Zoo_01,ATHB-22,Homeodomain,HD-ZIP
32,M06868_2.00,340,500,15606,27655,2.4250415450305153e-08,0.2690461884147549,2.048862277469341,1.0273357818038364e-06,True,A. thaliana,OMalley2016,DOF5.8,Dof,.
33,1.HSF1b-NS,381,500,18094,27655,3.971748071731097e-08,0.2198918683106713,1.62742374284714,1.6330893542000215e-06,True,.,.,1.HSF1b-NS,.,.
34,M06881_2.00,37,500,769,27655,5.549624071693301e-08,1.4120820146083237,10.245694922229816,2.2166784149220667e-06,True,A. thaliana,OMalley2016,FAR1,FAR1,.
35,M06853_2.00,330,500,15130,27655,5.727378342007773e-08,0.2706662840829169,1.9601771730461595,2.2241319228130186e-06,True,A. thaliana,OMalley2016,AT3G52440,Dof,.
36,M06828_2.00,35,500,707,27655,6.441648234332965e-08,1.4531850490767682,10.449858039955158,2.433898440972293e-06,True,A. thaliana,OMalley2016,EICBP.B,CG-1,.
37,M07284_2.00,28,500,490,27655,7.687612373907474e-08,1.660185419996234,11.810905264460704,2.828232131242802e-06,True,A. thaliana,OMalley2016,TCP13,TCP,.
38,M02515_2.00,23,500,346,27655,7.957547697309128e-08,1.8784021653614886,13.335191628335213,2.8524747899585026e-06,True,V. vinifera,Zoo_01,VIT_15s0048g01150,TCP,.
39,M06809_2.00,208,500,8574,27655,1.1091840231805096e-07,0.42415545326532,2.949999648243672,3.876598161015881e-06,True,A. thaliana,OMalley2016,IDD4,C2H2 ZF,.
40,M06880_2.00,36,500,765,27655,1.41126394468344e-07,1.3800775008034987,9.454071531090982,4.7612445266194794e-06,True,A. thaliana,OMalley2016,FAR1,FAR1,.
41,M06867_2.00,365,500,17284,27655,1.430416810572376e-07,0.2240715751188465,1.5336662749665402,4.7612445266194794e-06,True,A. thaliana,OMalley2016,DOF5.6,Dof,.
42,M06807_2.00,220,500,9235,27655,1.5736859124232332e-07,0.3979319045960596,2.7071633546815193,5.116309082715535e-06,True,A. thaliana,OMalley2016,IDD5,C2H2 ZF,.
43,M06849_2.00,288,500,12891,27655,1.6148820808333032e-07,0.3053168758884179,2.0736692276814774,5.130920793193086e-06,True,A. thaliana,OMalley2016,CDF3,Dof,.
44,1.PIF3.MEME,47,500,1164,27655,1.6599396481510608e-07,1.159181945710554,7.859146601382669,5.1568791735892955e-06,True,.,.,1.PIF3.MEME,.,.
45,M06908_2.00,134,500,4963,27655,2.0647112798157363e-07,0.5785608881018528,3.8677609228898846,6.274926889526955e-06,True,A. thaliana,OMalley2016,ATHB-21,Homeodomain,HD-ZIP
46,M06827_2.00,26,500,457,27655,2.385713150612356e-07,1.6538578000242228,10.952477754149312,7.096227626715051e-06,True,A. thaliana,OMalley2016,CAMTA5,CG-1,.
47,M07350_2.00,282,500,12633,27655,2.905553714900938e-07,0.30411012844974367,1.9878982962398954,8.462425194648982e-06,True,A. thaliana,OMalley2016,FRS9,FAR1,.
48,M02505_2.00,22,500,352,27655,4.212975370999687e-07,1.7894684369412006,11.408596899730215,1.0906925127143632e-05,True,A. thaliana,Zoo_01,TCP5,TCP,.
49,M02501_2.00,22,500,352,27655,4.212975370999687e-07,1.7894684369412006,11.408596899730215,1.0906925127143632e-05,True,A. thaliana,Zoo_01,TCP4,TCP,.
50,M02519_2.00,22,500,352,27655,4.212975370999687e-07,1.7894684369412006,11.408596899730215,1.0906925127143632e-05,True,Lotus japonicus,Zoo_01,LjT20A21.20.nc,TCP,.
51,M01313_2.00,22,500,352,27655,4.212975370999687e-07,1.7894684369412006,11.408596899730215,1.0906925127143632e-05,True,C. sativa,TF_Evolution,PK10344.1,TCP,.
52,M02510_2.00,22,500,352,27655,4.212975370999687e-07,1.7894684369412006,11.408596899730215,1.0906925127143632e-05,True,A. lyrata,Zoo_01,TCP5,TCP,.
53,M06864_2.00,296,500,13448,27655,3.9691679302001697e-07,0.2838177933339829,1.8168029898375757,1.0906925127143632e-05,True,A. thaliana,OMalley2016,DOF5.1,Dof,.
54,M07282_2.00,29,500,569,27655,4.6667481345903487e-07,1.4951645897621908,9.465865543407963,1.186202525846783e-05,True,A. thaliana,OMalley2016,TCP9,TCP,.
55,M06695_2.00,265,500,11773,27655,5.048304015922205e-07,0.3161226115607956,1.9905780888914797,1.2602730382605791e-05,True,A. thaliana,OMalley2016,ARID3,ARID/BRIGHT,.
56,M06900_2.00,112,500,4013,27655,5.411161400311989e-07,0.6263579182188093,3.925203124046032,1.3271585329186247e-05,True,A. thaliana,OMalley2016,ATHB-13,Homeodomain,HD-ZIP
57,M08114_2.00,29,500,574,27655,5.544995914600511e-07,1.4825425053930852,9.274932343707569,1.330076614099609e-05,True,A. thaliana,JASPAR,FHY3,FAR1,.
58,M09540_2.00,33,500,708,27655,5.613341933610653e-07,1.3662570062166566,8.540169922894197,1.330076614099609e-05,True,A. thaliana,HOMER,FHY3,FAR1,.
59,M07071_2.00,150,500,5833,27655,5.718838725166929e-07,0.5082647686233166,3.172940481540262,1.3324894229638943e-05,True,A. thaliana,OMalley2016,RVE7L,Myb/SANT,MYB-related
60,M06803_2.00,170,500,6827,27655,5.919175297519119e-07,0.4618233365386733,2.876115110840405,1.3565585353986441e-05,True,A. thaliana,OMalley2016,IDD7,C2H2 ZF,.
61,M06805_2.00,237,500,10291,27655,6.069530054914626e-07,0.3491161272706037,2.1704008270993906,1.3685811317372009e-05,True,A. thaliana,OMalley2016,SGR5,C2H2 ZF,.
62,M07289_2.00,29,500,578,27655,6.354499420983089e-07,1.4725237495680938,9.125109894420664,1.3852150166151787e-05,True,A. thaliana,OMalley2016,TCP14,TCP,.
63,M07275_2.00,23,500,391,27655,6.539641709342045e-07,1.702005595690861,10.525961774728248,1.3852150166151787e-05,True,A. thaliana,OMalley2016,TCP3,TCP,.
64,M08147_2.00,208,500,8776,27655,6.515118490190883e-07,0.3905603446790997,2.41603663145293,1.3852150166151787e-05,True,A. thaliana,JASPAR,FLC,MADS box,.
65,M06818_2.00,240,500,10456,27655,6.332610726900681e-07,0.34431560675428574,2.1342117818024975,1.3852150166151787e-05,True,A. thaliana,OMalley2016,JKD,C2H2 ZF,.
66,M01316_2.00,22,500,363,27655,6.969518166536635e-07,1.7450743175827468,10.744068751778757,1.4542367756445097e-05,True,C. sativa,TF_Evolution,PK13314.1,TCP,.
67,M01250_2.00,71,500,2207,27655,7.570254883862467e-07,0.8313446421662685,5.08856868940279,1.533799467773874e-05,True,C. sativa,TF_Evolution,PK20392.1,Homeodomain,HD-ZIP
68,M01251_2.00,71,500,2207,27655,7.570254883862467e-07,0.8313446421662685,5.08856868940279,1.533799467773874e-05,True,C. sativa,TF_Evolution,PK20392.1,Homeodomain,HD-ZIP
69,M06699_2.00,171,500,6910,27655,7.99784863735452e-07,0.4528509565514777,2.7610444272537156,1.5972846278602313e-05,True,A. thaliana,OMalley2016,HMGB9,HMGBox,.
70,M07274_2.00,22,500,370,27655,9.493256576919178e-07,1.7175185950621856,10.343901351995706,1.8692355907792973e-05,True,A. thaliana,OMalley2016,TCP3,TCP,.
71,M06913_2.00,92,500,3147,27655,9.892646343358854e-07,0.6932689296997896,4.162863287699097,1.9208221650021775e-05,True,A. thaliana,OMalley2016,ATHB-20,Homeodomain,HD-ZIP
72,M08144_2.00,254,500,11275,27655,1.077550860678873e-06,0.3173133106832607,1.8935869253304802,2.0635837030535132e-05,True,A. thaliana,JASPAR,AP1,MADS box,.
73,1.PIF5,38,500,913,27655,1.2103870602211511e-06,1.2029249004005638,7.117797730567311,2.2561614802522256e-05,True,.,.,1.PIF5,.,.
74,M06795_2.00,196,500,8229,27655,1.2046992791067373e-06,0.39767687348697534,2.3538976720752167,2.2561614802522256e-05,True,A. thaliana,OMalley2016,MGP,C2H2 ZF,.
75,M01161_2.00,64,500,1949,27655,1.3870032082040318e-06,0.8609500616833105,5.043378767312127,2.5513559014068902e-05,True,C. sativa,TF_Evolution,PK24205.1,bZIP,.
76,M06778_2.00,67,500,2084,27655,1.581634343560943e-06,0.8304180651204648,4.817167099480381,2.8715906653223353e-05,True,A. thaliana,OMalley2016,DPBF3,bZIP,.
77,M00892_2.00,21,500,353,27655,1.6380894661331641e-06,1.7182614864487806,9.941280845337142,2.935960350838671e-05,True,A. thaliana,Franco_Zorrilla2014,TCP15,TCP,.
78,M06815_2.00,199,500,8424,27655,1.6761729104682279e-06,0.3858033364591325,2.228277070529048,2.9661895301703576e-05,True,A. thaliana,OMalley2016,IDD2,C2H2 ZF,.
79,M02514_2.00,19,500,299,27655,1.958680761235035e-06,1.8133942761866808,10.350920431626166,3.377224548050838e-05,True,A. lyrata,Zoo_01,TCP4,TCP,.
80,M07056_2.00,103,500,3706,27655,1.9539875020721685e-06,0.6203217980971532,3.541465665918656,3.377224548050838e-05,True,A. thaliana,OMalley2016,AT2G38300,Myb/SANT,G2-like
81,M06841_2.00,240,500,10603,27655,1.98091854749763e-06,0.32417413606336815,1.8488083368520276,3.377224548050838e-05,True,A. thaliana,OMalley2016,DOF2.4,Dof,.
82,M06743_2.00,45,500,1201,27655,2.0818515264977945e-06,1.051301097565241,5.973020010267795,3.506540281980622e-05,True,A. thaliana,OMalley2016,BHLH72,bHLH,.
83,M06755_2.00,68,500,2149,27655,2.226161842774549e-06,0.8074815107637564,4.5642434275218475,3.6613814778809644e-05,True,A. thaliana,OMalley2016,ABF2,bZIP,.
84,M07273_2.00,21,500,360,27655,2.2122315572496776e-06,1.689932763390286,9.556856079974924,3.6613814778809644e-05,True,A. thaliana,OMalley2016,TCP24,TCP,.
85,M08431_2.00,31,500,689,27655,2.439151278620055e-06,1.3153045746237844,7.382490566112711,3.96503893896609e-05,True,A. thaliana,JASPAR,BZR2,BES1,.
86,M06806_2.00,198,500,8421,27655,2.4817304284572434e-06,0.37904920778712964,2.1246638261956563,3.9878840677968116e-05,True,A. thaliana,OMalley2016,SGR5,C2H2 ZF,.
87,M06998_2.00,118,500,4437,27655,2.5892475205562323e-06,0.5567426484828178,3.1104245437854514,4.113372765610924e-05,True,A. thaliana,OMalley2016,LHY,Myb/SANT,MYB-related
88,1.FDP-MEME,63,500,1947,27655,2.637447518428726e-06,0.8397111917208222,4.684594377415902,4.142867000857706e-05,True,.,.,1.FDP-MEME,.,.
89,M07327_2.00,187,500,7877,27655,2.9925031502183595e-06,0.3929323364452385,2.1705446246747973,4.6483548933391854e-05,True,A. thaliana,OMalley2016,ZHD6,Homeodomain,HD-ZF
90,M06797_2.00,218,500,9510,27655,3.4855495954061243e-06,0.34242313597020096,1.868852588154207,5.3547234443711664e-05,True,A. thaliana,OMalley2016,AT1G14580,C2H2 ZF,.
91,M07272_2.00,23,500,435,27655,3.738480533221955e-06,1.5481588022621229,8.402329817023851,5.680864984178579e-05,True,A. thaliana,OMalley2016,TCP24,TCP,.
92,M06848_2.00,248,500,11121,27655,3.796231345177068e-06,0.3026658467877639,1.6406448140325023,5.7065929253306895e-05,True,A. thaliana,OMalley2016,DOF3.2,Dof,.
93,M06703_2.00,204,500,8818,27655,4.800639615783533e-06,0.35565801729694824,1.891638615022189,7.073355476416686e-05,True,A. thaliana,OMalley2016,REM19,B3,REM
94,M06702_2.00,250,500,11262,27655,4.806643564088591e-06,0.2960772860512571,1.574585811626503,7.073355476416686e-05,True,A. thaliana,OMalley2016,REM19,B3,REM
95,M07354_2.00,250,500,11265,27655,4.90976629374276e-06,0.29569302848049717,1.5698163041306694,7.149847165262895e-05,True,A. thaliana,OMalley2016,ZHD10,Homeodomain,HD-ZF
96,M07335_2.00,154,500,6270,27655,5.1643568283586665e-06,0.4420052499467007,2.3368745774337714,7.443062727881871e-05,True,A. thaliana,OMalley2016,AtIDD11,C2H2 ZF,.
97,M06825_2.00,173,500,7240,27655,5.656014364892789e-06,0.4023226826073573,2.11118405106834,8.06847763481645e-05,True,A. thaliana,OMalley2016,IDD1,C2H2 ZF,.
98,M06847_2.00,308,500,14488,27655,5.793114967838951e-06,0.23368414668593399,1.2238244059496866,8.180580530342276e-05,True,A. thaliana,OMalley2016,DOF3.2,Dof,.
99,M06925_2.00,101,500,3724,27655,6.697455821308161e-06,0.5850425621342014,3.027062953660521,9.363043238188809e-05,True,A. thaliana,OMalley2016,HB-5,Homeodomain,HD-ZIP
100,M00866_2.00,58,500,1800,27655,7.242477789812182e-06,0.8336682408517356,4.285148819059791,9.969386257454224e-05,True,A. thaliana,Franco_Zorrilla2014,WOX13,Homeodomain,HD-WOX
101,M06705_2.00,274,500,12630,27655,7.273801132048146e-06,0.26293350122681275,1.3510150591533194,9.969386257454224e-05,True,A. thaliana,OMalley2016,VRN1,B3,REM
102,M02500_2.00,19,500,329,27655,7.469079853770365e-06,1.6754521766495445,8.589595792028371,0.00010137644306379584,True,A. thaliana,Zoo_01,TCP3,TCP,.
103,M07058_2.00,144,500,5824,27655,8.0899215504553e-06,0.45159879818481646,2.299566229806308,0.00010874721468785105,True,A. thaliana,OMalley2016,AT2G40260,Myb/SANT,G2-like
104,M06901_2.00,97,500,3556,27655,8.229899737932511e-06,0.5933416702985584,3.0169082938451695,0.00010957523651075858,True,A. thaliana,OMalley2016,ATHB-13,Homeodomain,HD-ZIP
105,M02504_2.00,20,500,364,27655,8.922602702130442e-06,1.6036018916298664,8.097401293351991,0.00011767734507149395,True,A. thaliana,Zoo_01,TCP19,TCP,.
106,M07337_2.00,163,500,6795,27655,9.36604464181096e-06,0.4079387555175246,2.051297096396125,0.00012237131223599742,True,A. thaliana,OMalley2016,ZHD9,Homeodomain,HD-ZF
107,M07287_2.00,21,500,399,27655,1.0198061019020763e-05,1.5415409234976152,7.6945743789692,0.00013200823430176877,True,A. thaliana,OMalley2016,TCP16,TCP,.
108,M06698_2.00,162,500,6766,27655,1.1127893203193765e-05,0.405230978031837,2.0073469254484126,0.00014272288713820995,True,A. thaliana,OMalley2016,HMGB9,HMGBox,.
109,M06932_2.00,86,500,3075,27655,1.1319233480422997e-05,0.6293624965293337,3.112942069747151,0.00014276283234216516,True,A. thaliana,OMalley2016,ATHB-5,Homeodomain,HD-ZIP
110,M07008_2.00,115,500,4442,27655,1.1335246344764185e-05,0.5179648103385953,2.561630728303284,0.00014276283234216516,True,A. thaliana,OMalley2016,RVE7,Myb/SANT,MYB-related
111,M06931_2.00,64,500,2091,27655,1.175049701537244e-05,0.7594910903516214,3.7442483642976168,0.00014568264754118826,True,A. thaliana,OMalley2016,HDG7,Homeodomain,HD-GL2
112,M07366_2.00,141,500,5719,27655,1.1775492970067435e-05,0.44747259913670645,2.2056017944335315,0.00014568264754118826,True,A. thaliana,OMalley2016,ZHD1,Homeodomain,HD-ZF
113,M02703_2.00,19,500,344,27655,1.3666426681450155e-05,1.611131195682688,7.837098015103882,0.0001675935482514677,True,Hordeum vulgare,JASPAR,Gam1,Myb/SANT,R2R3-MYB
114,M06777_2.00,63,500,2068,27655,1.562308774705376e-05,0.7527278901261822,3.6177857219047826,0.00018992240582940136,True,A. thaliana,OMalley2016,DPBF3,bZIP,.
115,1.GBF3-MEME1,53,500,1639,27655,1.584763345717864e-05,0.8387887524049408,4.026215857518097,0.00019099130666496325,True,.,.,1.GBF3-MEME1,.,.
116,M06822_2.00,158,500,6610,27655,1.6054643651694147e-05,0.40281462872324925,1.931254185893969,0.00019183240876126853,True,A. thaliana,OMalley2016,NUC,C2H2 ZF,.
117,M06907_2.00,74,500,2561,27655,1.6560244371693875e-05,0.6764302649726817,3.233967951084099,0.0001961967934883732,True,A. thaliana,OMalley2016,ATHB-21,Homeodomain,HD-ZIP
118,M07299_2.00,228,500,10266,27655,1.7263377556343815e-05,0.29677190589537256,1.4134872631280935,0.00020275709048741235,True,A. thaliana,OMalley2016,TSO1,TCR/CxC,.
119,M06737_2.00,36,500,954,27655,1.7404042101923806e-05,1.0615479823780012,5.052278257004891,0.00020275709048741235,True,A. thaliana,OMalley2016,BHLH104,bHLH,.
120,M06842_2.00,213,500,9483,27655,1.9028268214317114e-05,0.3130502365413842,1.4777851768907588,0.0002198472641621101,True,A. thaliana,OMalley2016,DOF2.4,Dof,.
121,M01770_2.00,47,500,1401,27655,1.9476289275282105e-05,0.8918160481880197,4.2008939511374175,0.00022317911808888838,True,A. thaliana,Zoo_01,BZIP68,bZIP,.
122,M01133_2.00,58,500,1869,27655,2.0186457628855007e-05,0.7793985783236146,3.659229472054238,0.00022943632329381543,True,A. thaliana,TF_Evolution,DPBF3,bZIP,.
123,M06816_2.00,159,500,6693,27655,2.0603047990566605e-05,0.3939140932602592,1.84590843432179,0.00023228275073235573,True,A. thaliana,OMalley2016,IDD2,C2H2 ZF,.
124,M06766_2.00,60,500,1958,27655,2.0826959099857263e-05,0.7611939829460239,3.5634338241205845,0.00023292871057280364,True,A. thaliana,OMalley2016,ABI5,bZIP,.
125,M07128_2.00,129,500,5198,27655,2.1857630938128543e-05,0.456954773892254,2.1295906168470804,0.0002329584032588551,True,A. thaliana,OMalley2016,RVE1,Myb/SANT,MYB-related
126,M07100_2.00,112,500,4368,27655,2.1947473845632723e-05,0.5040662180789521,2.3482506763270505,0.0002329584032588551,True,A. thaliana,OMalley2016,RVE5,Myb/SANT,MYB-related
127,M07138_2.00,112,500,4368,27655,2.1947473845632723e-05,0.5040662180789521,2.3482506763270505,0.0002329584032588551,True,A. thaliana,OMalley2016,RVE6,Myb/SANT,MYB-related
128,M07117_2.00,112,500,4368,27655,2.1947473845632723e-05,0.5040662180789521,2.3482506763270505,0.0002329584032588551,True,A. thaliana,OMalley2016,RVE4,Myb/SANT,MYB-related
129,M07070_2.00,112,500,4368,27655,2.1947473845632723e-05,0.5040662180789521,2.3482506763270505,0.0002329584032588551,True,A. thaliana,OMalley2016,RVE8,Myb/SANT,MYB-related
130,M07101_2.00,112,500,4368,27655,2.1947473845632723e-05,0.5040662180789521,2.3482506763270505,0.0002329584032588551,True,A. thaliana,OMalley2016,RVE5,Myb/SANT,MYB-related
131,M07338_2.00,146,500,6045,27655,2.1996072410707348e-05,0.4177663716847318,1.945811571128493,0.0002329584032588551,True,A. thaliana,OMalley2016,ZHD9,Homeodomain,HD-ZF
132,M06808_2.00,134,500,5453,27655,2.3287595447831408e-05,0.4427231872796996,2.051081342137363,0.0002447823942561527,True,A. thaliana,OMalley2016,IDD5,C2H2 ZF,.
133,M06798_2.00,161,500,6812,27655,2.3491100966861546e-05,0.38652259537727507,1.7892504430967422,0.0002450787996393466,True,A. thaliana,OMalley2016,AT1G14580,C2H2 ZF,.
134,M06935_2.00,73,500,2550,27655,2.4986066626025383e-05,0.6630114640749972,3.051379057614109,0.0002587446010606184,True,A. thaliana,OMalley2016,ATHB-53,Homeodomain,HD-ZIP
135,GBF2-MEME,53,500,1671,27655,2.577352383133239e-05,0.8108928734432116,3.721046462548048,0.0002649366640897256,True,.,.,GBF2-MEME,.,.
136,1.ABF3-MEME,46,500,1379,27655,2.6878676664413018e-05,0.8836236514842329,4.038683295866887,0.00026840278554892425,True,.,.,1.ABF3-MEME,.,.
137,2.ABF1-MEME,46,500,1379,27655,2.6878676664413018e-05,0.8836236514842329,4.038683295866887,0.00026840278554892425,True,.,.,2.ABF1-MEME,.,.
138,M01946_2.00,84,500,3060,27655,2.665678736164601e-05,0.6024699221399468,2.755813213963693,0.00026840278554892425,True,A. thaliana,Zoo_01,CDF2,Dof,.
139,M08046_2.00,46,500,1379,27655,2.6878676664413018e-05,0.8836236514842329,4.038683295866887,0.00026840278554892425,True,A. thaliana,JASPAR,PIF4,bHLH,.
140,M06712_2.00,257,500,11904,27655,2.764440838186223e-05,0.2559341750270472,1.1666484751147077,0.0002740913682116553,True,A. thaliana,OMalley2016,AT5G60130,B3,REM
141,M06834_2.00,284,500,13407,27655,3.1020417917386215e-05,0.22851672632971629,1.0302339214250527,0.0003053981989331403,True,A. thaliana,OMalley2016,DOF1.7,Dof,.
142,M06796_2.00,153,500,6449,27655,3.256020197863209e-05,0.39199652542645863,1.7590110691205934,0.0003183158207421515,True,A. thaliana,OMalley2016,MGP,C2H2 ZF,.
143,M07276_2.00,22,500,469,27655,3.4737584706056145e-05,1.375455943063121,6.133433665638429,0.0003372440515212951,True,A. thaliana,OMalley2016,TCP1,TCP,.
144,1.PIF4.MEME,35,500,950,27655,3.552870139773519e-05,1.026967750667857,4.569411533166832,0.0003425456865795434,True,.,.,1.PIF4.MEME,.,.
145,M06704_2.00,148,500,6225,27655,4.0525149299062705e-05,0.39506368072734455,1.7352284770035664,0.00038804218301431275,True,A. thaliana,OMalley2016,VRN1,B3,REM
146,M06770_2.00,60,500,2009,27655,4.129728732254485e-05,0.7240971838164271,3.1744988771784137,0.00039274563045522243,True,A. thaliana,OMalley2016,GBF3,bZIP,.
147,M00891_2.00,17,500,311,27655,4.2100760381040196e-05,1.5961605080609376,6.984335592990234,0.00039768150684252833,True,A. thaliana,Franco_Zorrilla2014,TCP23,TCP,.
148,M07351_2.00,53,500,1706,27655,4.2842532550764454e-05,0.7809869601861096,3.4114485597409474,0.00040079193704473424,True,A. thaliana,OMalley2016,GT-3A,Trihelix,.
149,1.ABF4-MEME,59,500,1968,27655,4.300342672153801e-05,0.7295969809638019,3.185782982149806,0.00040079193704473424,True,.,.,1.ABF4-MEME,.,.
150,M07139_2.00,115,500,4599,27655,4.647375805152973e-05,0.4678540055056421,2.0271141892252955,0.00040606446097524103,True,A. thaliana,OMalley2016,RVE6,Myb/SANT,MYB-related
151,M06866_2.00,308,500,14811,27655,4.5422785512644845e-05,0.20187354717384914,0.8766815497813039,0.00040606446097524103,True,A. thaliana,OMalley2016,DOF5.4,Dof,.
152,M08101_2.00,206,500,9245,27655,4.5630876998267514e-05,0.30151135983286065,1.3087827771505292,0.00040606446097524103,True,Zea mays,JASPAR,RAMOSA1,C2H2 ZF,.
153,M06997_2.00,109,500,4306,27655,4.63359530548592e-05,0.4855201575508931,2.1042841268405263,0.00040606446097524103,True,A. thaliana,OMalley2016,LHY,Myb/SANT,MYB-related
154,M06713_2.00,319,500,15435,27655,4.614822884388432e-05,0.19296318820358307,0.8366584675048083,0.00040606446097524103,True,A. thaliana,OMalley2016,AT5G60130,B3,REM
